Xpositon	Ypositon	Counts
0.158974	-0.066667	2150.000000000
0.148718	-0.066667	2490.000000000
0.138462	-0.066667	2390.000000000
0.128205	-0.066667	2400.000000000
0.117949	-0.066667	1810.000000000
0.107692	-0.066667	1890.000000000
0.097436	-0.066667	2130.000000000
0.087179	-0.066667	2230.000000000
0.076923	-0.066667	2420.000000000
0.066667	-0.066667	2240.000000000
0.056410	-0.066667	1910.000000000
0.046154	-0.066667	2140.000000000
0.035897	-0.066667	2220.000000000
0.025641	-0.066667	2200.000000000
0.015385	-0.066667	2010.000000000
0.005128	-0.066667	2020.000000000
-0.005128	-0.066667	2260.000000000
-0.015385	-0.066667	1750.000000000
-0.025641	-0.066667	1830.000000000
-0.035897	-0.066667	2050.000000000
-0.046154	-0.066667	1740.000000000
-0.056410	-0.066667	1790.000000000
-0.066667	-0.066667	1720.000000000
-0.076923	-0.066667	2150.000000000
-0.087179	-0.066667	2130.000000000
-0.097436	-0.066667	1860.000000000
-0.107692	-0.066667	1800.000000000
-0.117949	-0.066667	2100.000000000
-0.128205	-0.066667	2070.000000000
-0.138462	-0.066667	1900.000000000
-0.148718	-0.066667	1640.000000000
-0.158974	-0.066667	1640.000000000
-0.169231	-0.066667	1860.000000000
-0.179487	-0.066667	1760.000000000
-0.189744	-0.066667	1880.000000000
-0.200000	-0.066667	1780.000000000
0.200000	-0.056410	2040.000000000
0.189744	-0.056410	1920.000000000
0.179487	-0.056410	2120.000000000
0.169231	-0.056410	2100.000000000
0.158974	-0.056410	2300.000000000
0.148718	-0.056410	2170.000000000
0.138462	-0.056410	1920.000000000
0.128205	-0.056410	2340.000000000
0.117949	-0.056410	2450.000000000
0.107692	-0.056410	2180.000000000
0.097436	-0.056410	2390.000000000
0.087179	-0.056410	2150.000000000
0.076923	-0.056410	2160.000000000
0.066667	-0.056410	1760.000000000
0.056410	-0.056410	2650.000000000
0.046154	-0.056410	2420.000000000
0.035897	-0.056410	2240.000000000
0.025641	-0.056410	2350.000000000
0.015385	-0.056410	2210.000000000
0.005128	-0.056410	1760.000000000
-0.005128	-0.056410	1790.000000000
-0.015385	-0.056410	2040.000000000
-0.025641	-0.056410	1930.000000000
-0.035897	-0.056410	2220.000000000
-0.046154	-0.056410	1810.000000000
-0.056410	-0.056410	2030.000000000
-0.066667	-0.056410	2270.000000000
-0.076923	-0.056410	2280.000000000
-0.087179	-0.056410	2110.000000000
-0.097436	-0.056410	2240.000000000
-0.107692	-0.056410	1770.000000000
-0.117949	-0.056410	2250.000000000
-0.128205	-0.056410	2010.000000000
